City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,hermanus,-34.4187,19.2345,296.37,77,37,4.12,ZA,1706288882
331,umm kaddadah,13.6017,26.6876,292.34,20,100,5.52,SD,1706288882
332,burang,30.25,81.1667,262.93,86,54,1.53,CN,1706288882
333,ifrane,33.3333,-5.25,287.42,31,0,2.29,MA,1706288882
334,al kharijah,25.4514,30.5464,287.77,36,0,4.37,EG,1706288883
335,durban,-29.8579,31.0292,297.56,83,10,6.25,ZA,1706288883
336,cabo san lucas,22.8909,-109.9124,298.01,53,0,1.79,MX,1706288601
337,vernon,50.2581,-119.2691,276.82,81,100,0.34,CA,1706288883
338,yarmouth,41.7057,-70.2286,279.41,94,100,5.14,US,1706288883
339,st. john's,47.5649,-52.7093,269.42,73,51,2.68,CA,1706288628
340,manta,-0.95,-80.7333,302.03,74,40,3.6,EC,1706288590
341,zalingei,12.9096,23.4741,296.13,16,66,4.14,SD,1706288884
342,puerto penasco,31.3167,-113.5333,289.21,75,40,3.6,MX,1706288803
343,dover,39.1582,-75.5244,295.4,87,75,5.14,US,1706288877
344,stephenville,32.2207,-98.2023,283.8,93,100,1.54,US,1706288884
345,uturoa,-16.7333,-151.4333,301.06,74,97,0.59,PF,1706288884
346,igbor,7.4527,8.6098,306.79,11,1,3.48,NG,1706288884
347,visby,57.6409,18.296,274.84,100,100,6.69,SE,1706288885
348,puerto gaitan,4.3133,-72.0816,308.95,27,57,6.7,CO,1706288885
349,waat,51.1454,6.4958,281.03,72,40,4.12,DE,1706288885
350,columbus,39.9612,-82.9988,284.52,90,100,6.69,US,1706288568
351,itaituba,-4.2761,-55.9836,297.92,95,100,0.34,BR,1706288885
352,tosontsengel,48.7567,98.2839,244.88,78,1,0.42,MN,1706288885
353,labytnangi,66.6572,66.4183,257.62,96,100,0.86,RU,1706288886
354,nueve de julio,-35.4444,-60.8831,309.29,14,4,7.12,AR,1706288886
355,arauca,7.0847,-70.7591,305.13,55,20,2.57,CO,1706288628
356,ancud,-41.8697,-73.8203,290.96,76,28,5.17,CL,1706288886
357,xining,36.6167,101.7667,263.21,49,0,1.34,CN,1706288886
358,taroudant,30.4703,-8.877,301.31,13,81,1.94,MA,1706288886
359,merouana,35.6311,5.9119,288.61,34,10,2.09,DZ,1706288886
360,mweka,-4.85,21.5667,296.94,86,91,0.29,CD,1706288887
361,santa elena de uairen,4.6167,-61.1333,304.92,32,35,1.43,VE,1706288887
362,santa terezinha,-29.9002,-50.0904,296.87,68,100,4.92,BR,1706288887
363,nea alikarnassos,35.3333,25.1667,286.97,55,40,6.69,GR,1706288887
364,napanee,44.2501,-76.9494,275.69,97,100,6.13,CA,1706288887
365,bouarfa,32.53,-1.95,290.04,18,0,1.74,MA,1706288887
366,mutoko,-17.397,32.2268,294.17,56,19,1.9,ZW,1706288888
367,smithers,54.7804,-127.1743,274.05,98,100,1.12,CA,1706288888
368,temiskaming shores,47.4938,-79.7153,274.04,97,100,1.16,CA,1706288888
369,bereeda,11.8704,51.0579,298.79,72,22,2.38,SO,1706288888
370,asau,46.4333,26.4,273.86,96,98,1.01,RO,1706288888
